zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,bastantes,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,beneficios,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,buscando,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,buscar,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cabolo,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cae,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cambio,2.18969
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,caminio,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cartera,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,caso,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cercania,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,chile,1.46385
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,comunicacion,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,confianza,5.00333
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,considero,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,contingencia,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,contribucion,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,conviccion,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,correctas,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,crecimiento,3.0049400000000004
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,creen,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cremimiento,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,crisis,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cualquiera,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cumpledohasta,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cumplimiento,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,curtural,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,cvisto,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,dedicacion,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,defensa,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,dejando,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,delincuencia,1.76974
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,derecha,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,desemvuelvo,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,desminullero,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,deuda,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,digamos,1.62764
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,directamente,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,disminuir,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,economia,17.52673
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,educacion,1.64457
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,eficientes,0.70415
